DOCUMENT ID,RECORD TYPE,REFERENCE BY CRFN ,REFERENCE BY DOC ID,REFERENCE BY REEL YEAR,REFERENCE BY REEL BOROUGH,REFERENCE BY REEL NBR,REFERENCE BY REEL PAGE,GOOD THROUGH DATE
2014020600154001,X,2013000501583,,0,0,0,0,02/28/2014
2014022600589002,X,2011000304622,,0,0,0,0,02/28/2014
2013092700606001,X,2011000439032,,0,0,0,0,02/28/2014
2014010300325001,X,,,1999,4,5453,1234,02/28/2014
2014022000770001,X,2014000048676,,0,0,0,0,02/28/2014
2014021200125003,X,,,1985,3,1656,1198,02/28/2014
2013072201177004,X,2007000058498,,0,0,0,0,02/28/2014
2013120300279003,X,2006000067070,,0,0,0,0,02/28/2014
2014020700797003,X,,,1999,1,2936,2384,02/28/2014
2014021200933004,X,,,1936,1,4242,364,02/28/2014
2014021400504002,X,2003000408260,,0,0,0,0,02/28/2014
2014021001031002,X,2008000312105,,0,0,0,0,02/28/2014
2014022100145003,X,,2014022100145001,0,0,0,0,02/28/2014
2014022100564004,X,2006000101290,,0,0,0,0,02/28/2014
2014021900439010,X,,2014021900439002,0,0,0,0,02/28/2014
2014021900859003,X,,2014021900859002,0,0,0,0,02/28/2014
2013101601144002,X,2012000415767,,0,0,0,0,02/28/2014
2014022100220002,X,2013000366197,,0,0,0,0,02/28/2014
2014021200500002,X,,,1953,4,6746,203,02/28/2014
2013100800979003,X,2012000004781,,0,0,0,0,02/28/2014
2014022000578001,X,2009000264050,,0,0,0,0,02/28/2014
2014021900262003,X,,2014021900262002,0,0,0,0,02/28/2014
2014012401287003,X,2004000735665,,0,0,0,0,02/28/2014
2014021900464001,X,2006000171911,,0,0,0,0,02/28/2014
2014011000203001,X,2012000305021,,0,0,0,0,02/28/2014
2014011400263003,X,2007000579253,,0,0,0,0,02/28/2014
2013123100095001,X,2008000112273,,0,0,0,0,02/28/2014
2014011400075001,X,,,1998,4,4808,307,02/28/2014
2014020300147001,X,2008000022833,,0,0,0,0,02/28/2014
2014022500445001,X,2007000179222,,0,0,0,0,02/28/2014
2013120200927002,X,2010000328319,,0,0,0,0,02/28/2014
2014021400703001,X,2013000171579,,0,0,0,0,02/28/2014
2014022401167001,X,2011000041434,,0,0,0,0,02/28/2014
2014022500453001,X,2003000261193,,0,0,0,0,02/28/2014
2014022500410001,X,2003000007564,,0,0,0,0,02/28/2014
2014012801081001,X,2009000209043,,0,0,0,0,02/28/2014
